GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aed-2026-s1,ucu.edu.aed.utils,PrettyGrid.new PrettyGrid.CellFormat() {...},53,0,10,0,10,0,8,0,3,0
aed-2026-s1,ucu.edu.aed.utils,PrettyGrid,802,0,124,0,125,0,74,0,12,0
aed-2026-s1,ucu.edu.aed.utils,PrettyGrid.CellFormat,2,0,0,0,1,0,1,0,1,0
aed-2026-s1,ucu.edu.aed.utils,PrettyGrid.Align,15,0,0,0,1,0,1,0,1,0
aed-2026-s1,ucu.edu.aed,Main,1258,0,50,0,247,0,35,0,10,0
aed-2026-s1,ucu.edu.aed.tda.grafo.model.Implementaciones,DirectedGraph,2,171,1,21,1,37,1,15,0,5
aed-2026-s1,ucu.edu.aed.tda.grafo.model.Implementaciones,Graph,8,502,7,73,2,106,7,50,0,17
aed-2026-s1,ucu.edu.aed.tda.grafo.model.Implementaciones,DijkstraResult,0,81,1,13,0,21,1,9,0,3
aed-2026-s1,ucu.edu.aed.tda.grafo.model.Implementaciones,DirectedGraphAlgorithms,15,1140,14,132,3,226,14,71,0,12
aed-2026-s1,ucu.edu.aed.tda.grafo.model.Implementaciones,FloydWarshallResult,0,196,3,31,0,38,3,18,0,4
aed-2026-s1,ucu.edu.aed.tda.grafo.model.edge,WeightedEdge,4,9,0,0,1,4,1,2,1,2
aed-2026-s1,ucu.edu.aed.tda.grafo.model.edge,UndirectedEdge,94,0,12,0,17,0,14,0,8,0
aed-2026-s1,ucu.edu.aed.tda.grafo.model.edge,DirectedEdge,18,64,4,4,4,15,6,6,2,6
aed-2026-s1,ucu.edu.aed.tda.grafo.model,IGraph,14,34,0,4,3,4,2,8,2,6
aed-2026-s1,ucu.edu.aed.tda.grafo.model.result,Path,0,15,0,0,0,6,0,3,0,3
aed-2026-s1,ucu.edu.aed.tda.grafo.model.result,CriticalPathResult,0,86,0,4,0,22,0,10,0,8
aed-2026-s1,ucu.edu.aed.tda.grafo.model.result,PathWithSlack,0,55,0,0,0,12,0,6,0,6
aed-2026-s1,ucu.edu.aed.tda.grafo,IDirectedGraphAlgorithms,38,0,4,0,8,0,4,0,2,0
aed-2026-s1,ucu.edu.aed.tda.grafo,IDirectedIGraph,0,10,0,0,0,2,0,2,0,2
aed-2026-s1,ucu.edu.aed.tda.grafo,IUndirectedGraphAlgorithm,19,0,2,0,3,0,2,0,1,0
